function_id,module,rva,original_symbol,working_name,system,state,confidence,calls,called_by,evidence_ids,scenario_ids,source_path,notes
FN-AFENGINE-0002D6F0,AFENGINE,0002D6F0,,NfMission::LoadLevel,mission_loading,in_progress,3,,,EV-20260721-022;EV-20260721-027,,src/airfix/assets/AssetResolver.cpp,Resolves object CCF and CCF-scoped mesh/null/light plus material and texture dependencies
FN-AFENGINE-00039C30,AFENGINE,00039C30,,AfPathRecord::Load,path_loading,understood,3,,,EV-20260721-022,,,Reads PPOS and quantized 12-byte PDAT records
FN-CC-0000CCE0,CC,0000CCE0,,CcPolyVertex::Project,render_math,understood,3,,,EV-20260721-030,,,Projects positive Z depth with X right and Y up before screen-Y inversion
FN-CC-0002B5C0,CC,0002B5C0,,Cc3Matrix::SetRow,render_math,understood,3,,,EV-20260721-030,,,Writes three row values with a 12-byte stride
FN-CC-0002B5E0,CC,0002B5E0,,Cc3Matrix::SetCol,render_math,understood,3,,,EV-20260721-030,,,Writes one contiguous three-float matrix column
FN-CC-0002B670,CC,0002B670,,Cc3Matrix::operator*,render_math,implemented,3,,,EV-20260721-030,,src/airfix/render/LegacyGeometry.cpp,Applies legacy row-vector algebra as dot products against stored columns
FN-CC-00012350,CC,00012350,,CcMesh::InvertNormals,mesh_geometry,implemented,3,,,EV-20260721-030,,src/airfix/render/LegacyGeometry.cpp,Reverses facing only by swapping triangle indices one and two
FN-CC-00012E90,CC,00012E90,,CcMesh::RecalcVertexNormals,mesh_geometry,implemented,3,,,EV-20260721-030,,src/airfix/render/LegacyGeometry.cpp,Computes normalized cross p2-p0 by p1-p0 and uses Y-up degenerate fallback
FN-CC-0001FDD0,CC,0001FDD0,,CcObject::AddVisiblePolygonsToRenderList,render_culling,understood,3,,,EV-20260721-030,,,Uses recovered reverse-cross facing test from camera origin
FN-CC-00029DA0,CC,00029DA0,,CcSrtNode::LoadOrientation,scene_loading,understood,3,,,EV-20260721-030,,src/airfix/assets/LegacyFormats.cpp,Loads three F040 vectors as contiguous orientation columns
FN-CC-00046A50,CC,00046A50,,GtTextureBank::AddTexture,image_loading,understood,3,,,EV-20260721-032,,,Creates or loads one resolved texture path and records its checksum
FN-CC-00046BB0,CC,00046BB0,,GtTextureGroup::AddSearchPath,image_loading,understood,3,,,EV-20260721-032,,,Adds a case-insensitive formatted texture search root
FN-CC-00046C30,CC,00046C30,,GtTextureGroup::AddTexture,image_loading,implemented,3,,,EV-20260721-032,,src/airfix/assets/AssetResolver.cpp,Formats ordinary candidates as searchRoot plus source base name plus .gti
